message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=4.691859, y=-0.030980])";"30";"turtlesim1.sim";"1726127315.108633157";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.707891, y=-0.030980])";"30";"turtlesim3.sim";"1726127315.103217150";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.699875, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.102859175";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.699875, y=-0.030980])";"30";"turtlesim1.sim";"1726127315.092991294";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.715908, y=-0.030980])";"30";"turtlesim3.sim";"1726127315.087243750";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.707891, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.086419752";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.707891, y=-0.030980])";"30";"turtlesim1.sim";"1726127315.076366257";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.723924, y=-0.030980])";"30";"turtlesim3.sim";"1726127315.071177647";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.715908, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.070978362";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.715908, y=-0.030980])";"30";"turtlesim1.sim";"1726127315.060746089";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.731940, y=-0.030980])";"30";"turtlesim3.sim";"1726127315.054638477";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.723924, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.054574652";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.723924, y=-0.030980])";"30";"turtlesim1.sim";"1726127315.044941910";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.739956, y=-0.030980])";"30";"turtlesim3.sim";"1726127315.039038536";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.731940, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.038869942";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.731940, y=-0.030980])";"30";"turtlesim1.sim";"1726127315.029231550";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.747972, y=-0.030980])";"30";"turtlesim3.sim";"1726127315.022533615";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.739956, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.022416359";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.739956, y=-0.030980])";"30";"turtlesim1.sim";"1726127315.013083138";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.755989, y=-0.030980])";"30";"turtlesim3.sim";"1726127315.006864967";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.747972, y=-0.030980])";"30";"turtlesim2.sim";"1726127315.006833508";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.747972, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.996520719";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.764005, y=-0.030980])";"30";"turtlesim3.sim";"1726127314.991222352";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.755989, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.991007100";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.755989, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.980327711";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.764005, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.975192702";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.772021, y=-0.030980])";"30";"turtlesim3.sim";"1726127314.974574288";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.764005, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.964908662";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.780037, y=-0.030980])";"30";"turtlesim3.sim";"1726127314.959000182";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.772021, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.958730315";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.772021, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.949163038";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.788054, y=-0.030980])";"30";"turtlesim3.sim";"1726127314.942452908";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.780037, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.942363627";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.780037, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.932491259";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.796070, y=-0.030980])";"30";"turtlesim3.sim";"1726127314.926950855";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.788054, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.926891846";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.788054, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.916573908";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.804086, y=-0.030980])";"30";"turtlesim3.sim";"1726127314.911293746";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.796070, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.911215067";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.796070, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.901141815";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.812102, y=-0.030980])";"30";"turtlesim3.sim";"1726127314.894726314";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.804086, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.894647146";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.804086, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.884420233";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.812102, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.868846965";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.828135, y=-0.030980])";"30";"turtlesim3.sim";"1726127314.863120116";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.820118, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.863075824";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.820118, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.853261838";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.836151, y=-0.030980])";"30";"turtlesim3.sim";"1726127314.847533176";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.828135, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.846491792";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.828135, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.836574086";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.844167, y=-0.030980])";"30";"turtlesim3.sim";"1726127314.831366604";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.836151, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.831076021";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.836151, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.820626114";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.852183, y=-0.030980])";"30";"turtlesim3.sim";"1726127314.815468435";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.844167, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.814466669";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.844167, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.804680513";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.852183, y=-0.030980])";"30";"turtlesim2.sim";"1726127314.798755293";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.852183, y=-0.030980])";"30";"turtlesim1.sim";"1726127314.788952048";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.860199, y=-0.015833])";"30";"turtlesim3.sim";"1726127314.399374247";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.860199, y=-0.015833])";"30";"turtlesim2.sim";"1726127314.383117557";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.860199, y=-0.015833])";"30";"turtlesim1.sim";"1726127314.373505361";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.888008, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.383200492";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.915816, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.367148174";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.888008, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.367058283";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.888008, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.356903303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.915816, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.351120233";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.943625, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.351083005";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.915816, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.340547995";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.971433, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.334932136";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.943625, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.334889670";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.943625, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.324267492";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.999242, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.318690816";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.971433, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.318687463";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.971433, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.308892327";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.999242, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.302531635";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.027050, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.302465771";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.999242, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.292392300";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.054858, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.286399833";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.027050, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.286329289";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.027050, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.277077900";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.082667, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.270964810";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.054858, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.270204891";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.054858, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.260674539";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.082667, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.254980662";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.110475, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.254709661";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.082667, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.244279280";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.110475, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.238765954";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.138284, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.238634225";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.110475, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.228641007";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.166092, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.222629402";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.138284, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.222487825";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.138284, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.212579958";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.193900, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.207310742";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.166092, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.206279822";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.166092, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.196602865";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.221709, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.191171886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.249517, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.174938180";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.221709, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.174702521";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.221709, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.164685765";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.249517, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.158672833";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.277326, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.158570859";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.249517, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.148564719";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.305134, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.143185776";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.277326, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.142527621";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.277326, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.132580291";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.332942, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.127032880";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.305134, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.126287279";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.305134, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.116517008";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.360751, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.111035741";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.332942, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.110991389";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.332942, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.100329260";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.360751, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.095220689";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.388559, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.094688885";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.360751, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.085071924";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.388559, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.078349712";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.416368, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.078282520";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.388559, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.068786183";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.444176, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.062466350";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.416368, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.062426259";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.416368, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.052606328";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.471984, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.047344794";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.444176, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.047081058";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.444176, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.036360538";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.499793, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.030948208";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.471984, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.030927674";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.471984, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.020930544";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.499793, y=-0.015833])";"30";"turtlesim2.sim";"1726127266.014791821";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.527601, y=-0.015833])";"30";"turtlesim3.sim";"1726127266.014754663";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.499793, y=-0.015833])";"30";"turtlesim1.sim";"1726127266.004783027";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.527601, y=-0.015833])";"30";"turtlesim2.sim";"1726127265.999200483";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.555410, y=-0.015833])";"30";"turtlesim3.sim";"1726127265.998621812";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.527601, y=-0.015833])";"30";"turtlesim1.sim";"1726127265.988624329";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.555410, y=-0.015833])";"30";"turtlesim2.sim";"1726127265.982867169";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.583218, y=-0.015833])";"30";"turtlesim3.sim";"1726127265.982575145";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.555410, y=-0.015833])";"30";"turtlesim1.sim";"1726127265.972420579";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.583218, y=-0.015833])";"30";"turtlesim2.sim";"1726127265.966746675";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.611027, y=-0.015833])";"30";"turtlesim3.sim";"1726127265.966525684";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.583218, y=-0.015833])";"30";"turtlesim1.sim";"1726127265.957081377";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.638835, y=-0.015833])";"30";"turtlesim3.sim";"1726127265.950537757";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.611027, y=-0.015833])";"30";"turtlesim2.sim";"1726127265.950410009";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.611027, y=-0.015833])";"30";"turtlesim1.sim";"1726127265.940655798";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.666643, y=-0.015833])";"30";"turtlesim3.sim";"1726127265.935061867";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.638835, y=-0.015833])";"30";"turtlesim2.sim";"1726127265.934287210";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.638835, y=-0.015833])";"30";"turtlesim1.sim";"1726127265.924430047";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.666643, y=-0.015833])";"30";"turtlesim2.sim";"1726127265.919168302";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.694452, y=-0.015833])";"30";"turtlesim3.sim";"1726127265.918797352";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.666643, y=-0.015833])";"30";"turtlesim1.sim";"1726127265.908280707";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.694452, y=-0.015833])";"30";"turtlesim2.sim";"1726127265.902979080";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.722260, y=-0.015833])";"30";"turtlesim3.sim";"1726127265.902691176";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.694452, y=-0.015833])";"30";"turtlesim1.sim";"1726127265.893120589";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.722260, y=-0.015833])";"30";"turtlesim2.sim";"1726127265.886686556";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.750069, y=-0.015833])";"30";"turtlesim3.sim";"1726127265.886611751";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.722260, y=-0.015833])";"30";"turtlesim1.sim";"1726127265.876132054";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.777877, y=-0.015833])";"30";"turtlesim3.sim";"1726127265.870534003";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.750069, y=-0.015833])";"30";"turtlesim2.sim";"1726127265.870280394";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.750069, y=-0.015833])";"30";"turtlesim1.sim";"1726127265.860924092";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.805685, y=-0.015833])";"30";"turtlesim3.sim";"1726127265.855315215";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.777877, y=-0.015833])";"30";"turtlesim2.sim";"1726127265.855145770";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.777877, y=-0.015833])";"30";"turtlesim1.sim";"1726127265.844544471";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.833494, y=-0.015833])";"30";"turtlesim3.sim";"1726127265.839156026";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.805685, y=-0.015833])";"30";"turtlesim2.sim";"1726127265.838920228";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.805685, y=-0.015833])";"30";"turtlesim1.sim";"1726127265.829004534";"./src/turtle.cpp:update:260"
